title,duplicate_count,urls,page_types,business_priorities,severity
morfrac dogbone. - flat faced s | titanium | morfrac,5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-small-titanium-12819,product,high,MEDIUM
morfblock.[light] - 0.5 | 155kg swl | lightweight sailing block | morfrac,5,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-light-0-5-sailing-block-12322,product,high,MEDIUM
morfrac dogbone. - flat faced l | titanium | morfrac,5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-large-titanium-12821,product,high,MEDIUM
powerfurl.[ten] - continuous line furling kit | 10t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/es/shop/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/shop/powerfurl-ten-continuous-line-furling-kit-12564,product,high,MEDIUM
page not found | morfrac,4,https://www.morfrac.com/cookie | https://www.morfrac.com/es/cookie | https://www.morfrac.com/es/solution | https://www.morfrac.com/solution,general | system,ignore | medium,LOW
powerfurl.[ten] - tdis | 10t swl top down integrators | morfrac,4,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/es/shop/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/shop/powerfurl-ten-tdis-top-down-integrators-12567,product,high,LOW
ti-shackle. | morfrac,4,https://www.morfrac.com/es/shop/category/shackle-24 | https://www.morfrac.com/es/shop/category/ti-shackle-24 | https://www.morfrac.com/shop/category/shackle-24 | https://www.morfrac.com/shop/category/ti-shackle-24,product,high,LOW
morfblock.[max] | morfrac,4,https://www.morfrac.com/es/shop/category/morfblock-morfblock-ultra-38 | https://www.morfrac.com/es/shop/category/morfblock-morfblockmax-38 | https://www.morfrac.com/shop/category/morfblock-morfblock-ultra-38 | https://www.morfrac.com/shop/category/morfblock-morfblockmax-38,product,high,LOW
custom. | morfrac,4,https://www.morfrac.com/custom | https://www.morfrac.com/es/custom | https://www.morfrac.com/es/shop/category/custom-33 | https://www.morfrac.com/shop/category/custom-33,general | product,high | medium,LOW
d-shackle | morfrac outlet | best online deal,4,https://www.morfrac.com/es/shop/outlet-36/shackle-17-4ph-12827 | https://www.morfrac.com/es/shop/shackle-17-4ph-12827 | https://www.morfrac.com/shop/outlet-36/shackle-17-4ph-12827 | https://www.morfrac.com/shop/shackle-17-4ph-12827,product,high,LOW
powerfurl.[ten] - swivelhead | 10t swl top furling unit | morfrac,4,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/es/shop/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/shop/powerfurl-ten-head-swivel-unit-12566,product,high,LOW
morfring. | morfrac,4,https://www.morfrac.com/es/morfring | https://www.morfrac.com/es/shop/category/morfring-26 | https://www.morfrac.com/morfring | https://www.morfrac.com/shop/category/morfring-26,general | product,high | medium,LOW
morfrac | custom. solutions,4,https://www.morfrac.com/blog/custom-6/cunningham-furler-25 | https://www.morfrac.com/blog/custom-6/pignose-titanium-24 | https://www.morfrac.com/es/blog/custom-6/cunningham-furler-25 | https://www.morfrac.com/es/blog/custom-6/pignose-titanium-24,technical_blog,medium,LOW
morfblock.[xl] | morfrac,4,https://www.morfrac.com/es/shop/category/morfblock-morfblock-xl-21 | https://www.morfrac.com/es/shop/category/morfblock-morfblockxl-21 | https://www.morfrac.com/shop/category/morfblock-morfblock-xl-21 | https://www.morfrac.com/shop/category/morfblock-morfblockxl-21,product,high,LOW
mloop.[one] - high-performance dyneema® loop,4,https://www.morfrac.com/es/shop/mloop-34/mloop-dyneema-loop-12675 | https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-34/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,high,LOW
morfblock.[light] - 04 | sailing block | morfrac,4,https://www.morfrac.com/es/shop/morfblock-light-4-hl-12823 | https://www.morfrac.com/es/shop/outlet-36/morfblock-light-4-hl-12823 | https://www.morfrac.com/shop/morfblock-light-4-hl-12823 | https://www.morfrac.com/shop/outlet-36/morfblock-light-4-hl-12823,product,high,LOW
morfblock.[wood] | morfrac,4,https://www.morfrac.com/es/shop/category/morfblock-morfblock-wood-20 | https://www.morfrac.com/es/shop/category/morfblock-morfblockwood-20 | https://www.morfrac.com/shop/category/morfblock-morfblock-wood-20 | https://www.morfrac.com/shop/category/morfblock-morfblockwood-20,product,high,LOW
morfblock.[light] | morfrac,4,https://www.morfrac.com/es/shop/category/morfblock-morfblock-light-18 | https://www.morfrac.com/es/shop/category/morfblock-morfblocklight-18 | https://www.morfrac.com/shop/category/morfblock-morfblock-light-18 | https://www.morfrac.com/shop/category/morfblock-morfblocklight-18,product,high,LOW
morfrac dogbone. - titanium ø13mm | 60mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-titanium-12646 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-60-19-titanium-12646 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,product,high,LOW
morfrac dogbone. - titanium ø9mm | 40mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-40-12-titanium-12462 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-40-12-titanium-12462 | https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,product,high,LOW
morfblock.[light] - 06 | 4500kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344,product,high,LOW
morfblock.[light] - 05 | 2800kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,LOW
morfblock.[light] - 06 | 3300kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346,product,high,LOW
morfrac dogbone. - aluminium ø13mm | 60mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,product,high,LOW
morfrac dogbone. - aluminium ø9mm | 45mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-45-19-aluminium-12463 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-45-19-aluminium-12463 | https://www.morfrac.com/shop/dogbone-25/dogbone-45-19-aluminium-12463,product,high,LOW
morfrac dogbone. - aluminium ø7mm | 25mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,product,high,LOW
morfrac dogbone. - titanium ø11mm | 50mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-titanium-12465 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-50-15-titanium-12465 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,product,high,LOW
morfrac dogbone. - aluminium ø11mm | 50mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,product,high,LOW
morfblock.[light] - 01 | 225kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324,product,high,LOW
morfblock.[light] - 03 | 1000kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,LOW
ti-shackle | morfrac | best online deal,3,https://www.morfrac.com/es/shop/custom-33/powerfurl6-shackle10-12826 | https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl6-shackle10-12826 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl6-shackle10-12826,product,high,LOW
morfring.[60xl] | ptfe friction ring | morfrac,3,https://www.morfrac.com/es/shop/outlet-36/morfring-60xl-12828 | https://www.morfrac.com/shop/morfring-26/morfring-60xl-12828 | https://www.morfrac.com/shop/outlet-36/morfring-60xl-12828,product,high,LOW
morfrac dogbone. - titanium ø15mm | 70mm length | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-70-26-titanium-12673 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-70-26-titanium-12673 | https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,product,high,LOW
morfblock.[xl] - 02 | 2000kg swl | xl sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-02-high-load-sailing-block-12372 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372,product,high,LOW
morfblock.[xl] - 01 | 1000kg swl | xl sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-01-performance-sailing-block-12366 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366,product,high,LOW
morfblock.[light] - 02 | 335kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-02-performance-sailing-block-12330 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330,product,high,LOW
morfblock.[light] - 02 | 450kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,LOW
morfblock.[light] - 03 | 750kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,LOW
morfblock.[light] - 01 | 170kg swl | lightweight sailing block | morfrac,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,LOW
