h1,duplicate_count,urls,page_types,business_priorities,severity
morfblock.[light] - 03 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,LOW
morfblock.[light] - 02 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,LOW
morfblock.[light] - 01 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324,product,high,LOW
morfblock.[light] - 04 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-04-high-load-sailing-block-12336 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336,product,high,LOW
dogbone.40-12-ti,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-40-12-titanium-12462 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-40-12-titanium-12462 | https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,product,high,LOW
dogbone.65-24,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-65-24-aluminium-12469 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-65-24-aluminium-12469 | https://www.morfrac.com/shop/dogbone-25/dogbone-65-24-aluminium-12469,product,high,LOW
dogbone.70-26-ti,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-70-26-titanium-12673 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-70-26-titanium-12673 | https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,product,high,LOW
dogbone.60-19-ti,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-titanium-12646 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-60-19-titanium-12646 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,product,high,LOW
dogbone.50-15,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,product,high,LOW
dogbone.50-15-ti,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-titanium-12465 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-50-15-titanium-12465 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,product,high,LOW
dogbone.60-19,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,product,high,LOW
[shop] | morfrac [shop] | morfblock.,3,https://www.morfrac.com/shop/category/morfblock-17 | https://www.morfrac.com/shop/category/morfblock-17/page/2 | https://www.morfrac.com/shop/category/morfblock-17/page/3,product,high,LOW
dogbone.25-7,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,product,high,LOW
dogbone.40-12,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-40-12-aluminium-12461 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-40-12-aluminium-12461 | https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-aluminium-12461,product,high,LOW
[shop] ​ | morfrac[shop] | morfblock.,3,https://www.morfrac.com/es/shop/category/morfblock-17 | https://www.morfrac.com/es/shop/category/morfblock-17/page/2 | https://www.morfrac.com/es/shop/category/morfblock-17/page/3,product,high,LOW
