url,page_type,business_priority,commercial_relevance,authority_value,authority_cluster,inbound_internal_links,unique_linking_pages,outbound_internal_links,unique_target_pages,total_search_impressions,max_opportunity_score,primary_queries,search_intents,internal_link_graph_score,internal_link_priority
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-thimble-12528,product,high,high,high,powerfurl,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-lashing-fitting-12524,product,high,high,high,powerfurl,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-head-swivel-unit-12533,product,high,high,high,powerfurl,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-shackles-12531,product,high,high,high,shackle,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-12530,product,high,high,high,powerfurl,2.0,2.0,41.0,41.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-drum-bottom-furling-unit-12529,product,high,high,high,powerfurl,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/mreel-35/mreel-two-rope-reeler-12492,product,high,high,high,mreel,2.0,2.0,38.0,38.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/mreel-35/mreel-three-rope-reeler-12628,product,high,high,high,mreel,2.0,2.0,38.0,38.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/mreel-35/mreel-one-rope-reeler-12491,product,high,high,high,mreel,2.0,2.0,38.0,38.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/mreel-35/mreel-four-rope-reeler-12493,product,high,high,high,mreel,2.0,2.0,38.0,38.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-light-4-hl-12823,product,high,high,high,morfblock,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,product,high,high,high,morfblock,4.0,4.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/mloop-34/mloop-custom-12674,product,high,high,high,mloop,3.0,3.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/mloop-34/mloop-dyneema-loop-12675,product,high,high,high,mloop,3.0,3.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/category/morfblock-17/page/2,product,high,high,high,morfblock,4.0,4.0,79.0,79.0,0.0,0.0,,,135.0,CRITICAL
