source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
application,low_friction_rigging,product_family,morfblock,product_related_to_product,26,26
application,sheet_handling,application,low_friction_rigging,product_related_to_product,26,26
engineering_concept,low_friction,product_family,mreel,general_internal_link,26,26
intent,support,product_family,powerfurl,general_internal_link,26,26
product_family,mloop,product_family,morfblock,general_internal_link,26,26
product_family,morfblock,application,low_friction_rigging,product_related_to_product,26,26
product_family,morfblock,engineering_concept,high_load,general_internal_link,26,26
product_family,mreel,application,furling_systems,general_internal_link,26,26
product_family,mreel,application,rope_management,general_internal_link,26,26
product_family,mreel,product_family,padeye,general_internal_link,26,26
product_family,powerfurl,material,stainless_steel,general_internal_link,26,26
product_family,hoistlock,intent,brand,product_links_to_parent,13,26
application,deck_attachment,engineering_concept,lightweight,general_internal_link,25,25
application,sail_handling,engineering_concept,high_load,general_internal_link,25,25
engineering_concept,marine_hardware,product_family,shackle,general_internal_link,25,25
material,stainless_steel,application,sheet_handling,general_internal_link,25,25
application,custom_engineering,engineering_concept,high_load,authority_supports_commercial,5,25
application,custom_engineering,engineering_concept,swl,authority_supports_commercial,5,25
application,deck_attachment,application,sail_handling,authority_supports_commercial,5,25
application,low_friction_rigging,material,titanium,authority_supports_commercial,5,25
engineering_concept,lightweight,material,titanium,authority_supports_commercial,5,25
application,deck_attachment,application,sail_handling,product_related_to_product,24,24
application,low_friction_rigging,engineering_concept,high_load,general_internal_link,24,24
application,low_friction_rigging,material,ptfe,product_related_to_product,24,24
application,rope_management,engineering_concept,swl,product_related_to_product,24,24
application,rope_management,material,ptfe,product_related_to_product,24,24
application,sail_handling,application,deck_attachment,product_related_to_product,24,24
engineering_concept,breaking_load,intent,technical,product_related_to_product,24,24
engineering_concept,low_friction,engineering_concept,lightweight,general_internal_link,24,24
engineering_concept,low_friction,material,aluminium,general_internal_link,24,24
engineering_concept,low_friction,material,ptfe,product_related_to_product,24,24
engineering_concept,swl,application,rope_management,product_related_to_product,24,24
intent,brand,material,ptfe,product_related_to_product,24,24
intent,commercial,material,ptfe,product_related_to_product,24,24
intent,technical,engineering_concept,breaking_load,product_related_to_product,24,24
material,aluminium,material,ptfe,product_related_to_product,24,24
material,dyneema,application,deck_attachment,general_internal_link,24,24
material,dyneema,application,furling_systems,general_internal_link,24,24
material,dyneema,application,rope_management,general_internal_link,24,24
material,dyneema,application,sheet_handling,general_internal_link,24,24
material,dyneema,engineering_concept,marine_hardware,general_internal_link,24,24
material,dyneema,product_family,powerfurl,general_internal_link,24,24
material,ptfe,application,low_friction_rigging,product_related_to_product,24,24
material,ptfe,application,rope_management,product_related_to_product,24,24
material,ptfe,engineering_concept,low_friction,product_related_to_product,24,24
material,ptfe,intent,brand,product_related_to_product,24,24
material,ptfe,intent,commercial,product_related_to_product,24,24
material,ptfe,material,aluminium,product_related_to_product,24,24
material,ptfe,material,titanium,product_related_to_product,24,24
material,ptfe,product_family,morfring,product_related_to_product,24,24
material,ptfe,product_family,shackle,general_internal_link,24,24
material,stainless_steel,engineering_concept,customizable,general_internal_link,24,24
material,titanium,material,ptfe,product_related_to_product,24,24
product_family,mloop,engineering_concept,customizable,general_internal_link,24,24
product_family,morfring,material,ptfe,product_related_to_product,24,24
product_family,morfwing,application,custom_engineering,general_internal_link,24,24
product_family,morfwing,application,low_friction_rigging,general_internal_link,24,24
product_family,morfwing,material,titanium,general_internal_link,24,24
product_family,padeye,material,aluminium,general_internal_link,24,24
material,ptfe,engineering_concept,high_load,product_links_to_parent,12,24
material,ptfe,engineering_concept,swl,product_links_to_parent,12,24
product_family,mloop,application,deck_attachment,product_links_to_parent,12,24
product_family,mloop,application,low_friction_rigging,product_links_to_parent,12,24
product_family,mloop,application,sheet_handling,product_links_to_parent,12,24
product_family,mloop,product_family,dogbone,product_links_to_parent,12,24
product_family,mloop,product_family,morfblock,product_links_to_parent,12,24
product_family,mloop,product_family,morfring,product_links_to_parent,12,24
product_family,mloop,product_family,padeye,product_links_to_parent,12,24
product_family,mloop,product_family,powerfurl,product_links_to_parent,12,24
product_family,mloop,product_family,shackle,product_links_to_parent,12,24
product_family,mreel,application,custom_engineering,product_links_to_parent,12,24
product_family,mreel,engineering_concept,customizable,product_links_to_parent,12,24
product_family,mreel,material,aluminium,product_links_to_parent,12,24
application,custom_engineering,engineering_concept,customizable,category_supports_product,6,24
application,custom_engineering,intent,commercial,category_supports_product,6,24
application,custom_engineering,material,titanium,category_supports_product,6,24
application,deck_attachment,application,rope_management,category_supports_product,6,24
application,deck_attachment,engineering_concept,low_friction,category_supports_product,6,24
application,deck_attachment,product_family,morfring,category_supports_product,6,24
engineering_concept,customizable,application,custom_engineering,category_supports_product,6,24
engineering_concept,customizable,intent,commercial,category_supports_product,6,24
engineering_concept,customizable,material,titanium,category_supports_product,6,24
intent,support,engineering_concept,lightweight,category_supports_product,6,24
material,aluminium,intent,brand,pillar_routes_to_commercial,6,24
material,aluminium,intent,commercial,pillar_routes_to_commercial,6,24
material,titanium,application,deck_attachment,category_supports_product,6,24
material,titanium,application,rope_management,category_supports_product,6,24
product_family,padeye,application,rope_management,category_supports_product,6,24
product_family,padeye,engineering_concept,low_friction,category_supports_product,6,24
product_family,padeye,product_family,morfring,category_supports_product,6,24
application,rope_management,engineering_concept,high_load,general_internal_link,23,23
application,rope_management,engineering_concept,lightweight,general_internal_link,23,23
application,soft_connection,product_family,shackle,general_internal_link,23,23
material,stainless_steel,application,deck_attachment,general_internal_link,23,23
material,stainless_steel,application,furling_systems,general_internal_link,23,23
material,stainless_steel,product_family,powerfurl,general_internal_link,23,23
product_family,mreel,product_family,morfblock,general_internal_link,23,23
application,deck_attachment,engineering_concept,high_load,general_internal_link,22,22
application,deck_attachment,intent,technical,product_related_to_product,22,22
application,low_friction_rigging,product_family,powerfurl,product_related_to_product,22,22
application,sail_handling,material,stainless_steel,general_internal_link,22,22
application,sail_handling,product_family,dogbone,product_related_to_product,22,22
application,sheet_handling,engineering_concept,high_load,product_related_to_product,22,22
application,sheet_handling,material,titanium,product_related_to_product,22,22
engineering_concept,high_load,application,sheet_handling,product_related_to_product,22,22
engineering_concept,high_load,product_family,morfblock,product_related_to_product,22,22
engineering_concept,lightweight,engineering_concept,low_friction,product_related_to_product,22,22
engineering_concept,low_friction,engineering_concept,lightweight,product_related_to_product,22,22
intent,technical,application,deck_attachment,product_related_to_product,22,22
material,titanium,application,sheet_handling,product_related_to_product,22,22
material,titanium,product_family,morfblock,product_related_to_product,22,22
product_family,dogbone,application,sail_handling,product_related_to_product,22,22
product_family,dogbone,engineering_concept,high_load,general_internal_link,22,22
product_family,morfblock,engineering_concept,high_load,product_related_to_product,22,22
product_family,morfblock,material,titanium,product_related_to_product,22,22
product_family,morfring,product_family,mreel,general_internal_link,22,22
product_family,morfwing,application,sail_handling,general_internal_link,22,22
product_family,mreel,engineering_concept,marine_hardware,general_internal_link,22,22
product_family,powerfurl,application,low_friction_rigging,product_related_to_product,22,22
product_family,hoistlock,intent,commercial,product_links_to_parent,11,22
