source_url,target_url,source_role,target_role,relationship_type,relationship_weight,relationship_source
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shackle,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/dogbone-25,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/morfblock-17,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/morfring-26,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/padeye-27,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/powerfurl-1,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/category/shackle-24,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/solutions,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/use,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/website/social/instagram,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/website/social/linkedin,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/about,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/blog,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/contactus,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/custom,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/dogbone,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/morfblock,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/morfring,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/morfwing,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/padeye,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/partner,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/powerfurl,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shackle,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/dogbone-25,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/morfblock-17,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/morfring-26,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/padeye-27,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/powerfurl-1,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/category/shackle-24,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/solutions,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/use,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/website/social/instagram,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/website/social/linkedin,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/about,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/blog,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/contactus,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/custom,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/dogbone,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/morfblock,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/morfring,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/morfwing,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/padeye,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/partner,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/powerfurl,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shackle,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/dogbone-25,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/morfblock-17,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/morfring-26,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/padeye-27,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/powerfurl-1,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/category/shackle-24,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/solutions,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/use,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/website/social/instagram,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/website/social/linkedin,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/shop/shackle-17-4ph-12827,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/shop/morfblock-light-4-p-12338,https://www.morfrac.com/,product,general,general_internal_link,1,crawl_internal_link
