priority,url,page_type,business_priority,indexable,status_code,canonical,robots,indexation_risks
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-head-swivel-unit-12566,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-tdis-top-down-integrators-12567,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-twelve-continuous-line-furling-kit-12596,product,high,True,200,https://www.morfrac.com/shop/powerfurl-twelve-continuous-line-furling-kit-12596,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526,product,high,True,200,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,product,high,True,200,https://www.morfrac.com/shop/dogbone-25-7-aluminium-12460,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-aluminium-12461,product,high,True,200,https://www.morfrac.com/shop/dogbone-40-12-aluminium-12461,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,product,high,True,200,https://www.morfrac.com/shop/dogbone-40-12-titanium-12462,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-45-19-aluminium-12463,product,high,True,200,https://www.morfrac.com/shop/dogbone-45-19-aluminium-12463,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,product,high,True,200,https://www.morfrac.com/shop/dogbone-50-15-aluminium-12464,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,product,high,True,200,https://www.morfrac.com/shop/dogbone-50-15-titanium-12465,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,product,high,True,200,https://www.morfrac.com/shop/dogbone-60-19-aluminium-12466,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,product,high,True,200,https://www.morfrac.com/shop/dogbone-60-19-titanium-12646,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467,product,high,True,200,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-65-24-aluminium-12469,product,high,True,200,https://www.morfrac.com/shop/dogbone-65-24-aluminium-12469,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,product,high,True,200,https://www.morfrac.com/shop/dogbone-70-26-titanium-12673,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821,product,high,True,200,https://www.morfrac.com/shop/dogbone-flat-faced-large-titanium-12821,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820,product,high,True,200,https://www.morfrac.com/shop/dogbone-flat-faced-medium-titanium-12820,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819,product,high,True,200,https://www.morfrac.com/shop/dogbone-flat-faced-small-titanium-12819,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,product,high,True,200,https://www.morfrac.com/shop/mloop-custom-12674,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/mloop-34/mloop-dyneema-loop-12675,product,high,True,200,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/category/morfblock-17/page/2,product,high,False,200,https://www.morfrac.com/shop/category/morfblock-17/page/2,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/morfblock-17/page/3,product,high,False,200,https://www.morfrac.com/shop/category/morfblock-17/page/3,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
